pais;ano;pop;DDTx;cdtxtaxa;ordem
Espanha;2003;41,1;1991;48,44;1
Austria;2003;8,1;336;41,48;2
Belgica;2003;10,3;413;40,1;3
Rep Checa;2003;10,2;352;34,51;4
Franca;2003;60,1;1991;33,13;5
Irlanda;2003;4;127;31,75;6
Portugal;2003;10,1;305;30,2;7
Hungria;2003;9,9;299;30,2;8
Finlandia;2003;5,2;156;30;9
Letonia;2003;2,3;67;29,13;10
Italia;2003;57,4;1489;25,94;11
Alemanha;2003;82,5;2111;25,59;12
Polonia;2003;38,6;984;25,49;13
Holanda;2003;16,1;406;25,22;14
Suecia;2003;8,9;215;24,16;15
Dinamarca;2003;5,4;129;23,89;16
Estonia;2003;1,3;30;23,08;17
Luxemburgo;2003;0,4;9;22,5;18
Eslovenia;2003;2;43;21,5;19
Reino Unido;2003;59,3;1246;21,01;20
Malta;2003;0,4;7;17,5;21
Croacia;2003;4,4;73;16,59;22
Eslovaquia;2003;5,4;80;14,81;23
Grecia;2003;11;134;12,18;24
Chipre;2003;0,8;2;2,5;25
Bulgaria;2003;7,9;17;2,15;26
Romenia;2003;22,3;16;0,72;27
Lituania;2003;3,4;NA;NA;28
Espanha;2004;41,1;2064;50,22;1
Austria;2004;8,1;348;42,96;2
Rep Checa;2004;10,2;404;39,61;3
Portugal;2004;10,1;392;38,81;4
Franca;2004;60,4;2259;37,4;5
Finlandia;2004;5,2;192;36,92;6
Irlanda;2004;4;143;35,75;7
Belgica;2004;10,3;353;34,27;8
Reino Unido;2004;59,4;1905;32,07;9
Letonia;2004;2,3;71;30,87;10
Italia;2004;57,3;1746;30,47;11
Hungria;2004;9,8;284;28,98;12
Eslovenia;2004;2;55;27,5;13
Polonia;2004;38,6;1045;27,07;14
Holanda;2004;16,2;423;26,11;15
Suecia;2004;8,9;230;25,84;16
Dinamarca;2004;5,4;135;25;17
Alemanha;2004;82,5;1989;24,11;18
Croacia;2004;4,4;106;24,09;19
Malta;2004;0,4;8;20;20
Luxemburgo;2004;0,5;10;20;21
Chipre;2004;0,8;15;18,75;22
Eslovaquia;2004;5,4;99;18,33;23
Lituania;2004;3,4;57;16,76;24
Grecia;2004;11;116;10,55;25
Bulgaria;2004;7,8;14;1,79;26
Romenia;2004;22,3;19;0,85;27
Estonia;2004;1,3;NA;NA;28
Espanha;2005;43,1;2113;49,03;1
Austria;2005;8,2;371;45,24;2
Estonia;2005;1,3;58;44,62;3
Franca;2005;60,5;2375;39,26;4
Rep Checa;2005;10,2;384;37,65;5
Belgica;2005;10,4;358;34,42;6
Letonia;2005;2,3;79;34,35;7
Portugal;2005;10,5;330;31,43;8
Irlanda;2005;4,1;127;30,98;9
Finlandia;2005;5,2;161;30,96;10
Hungria;2005;10,1;300;29,7;11
Italia;2005;58,1;1671;28,76;12
Polonia;2005;38,5;1040;27,01;13
Alemanha;2005;82,7;2190;26,48;14
Holanda;2005;16,3;422;25,89;15
Suecia;2005;9;219;24,33;16
Dinamarca;2005;5,4;121;22,41;17
Reino Unido;2005;59,7;1312;21,98;18
Eslovaquia;2005;5,4;115;21,3;19
Croacia;2005;4,6;85;18,48;20
Luxemburgo;2005;0,5;9;18;21
Grecia;2005;11,1;167;15,05;22
Eslovenia;2005;2;28;14;23
