pais;ano;pop;LDTx;ldtxtaxa;ordem
Chipre;2003;0,8;41;51,25;1
Suecia;2003;8,9;130;14,61;2
Holanda;2003;16,1;195;12,11;3
Dinamarca;2003;5,4;47;8,7;4
Reino Unido;2003;59,3;439;7,4;5
Grecia;2003;11;79;7,18;6
Romenia;2003;22,3;150;6,73;7
Alemanha;2003;82,5;404;4,9;8
Rep Checa;2003;10,2;48;4,71;9
Austria;2003;8,1;37;4,57;10
Eslovaquia;2003;5,4;24;4,44;11
Portugal;2003;10,1;42;4,16;12
Malta;2003;0,4;1;2,5;13
Italia;2003;57,4;135;2,35;14
Estonia;2003;1,3;3;2,31;15
Franca;2003;60,1;136;2,26;16
Bulgaria;2003;7,9;16;2,03;17
Espanha;2003;41,1;60;1,46;18
Finlandia;2003;5,2;7;1,35;19
Polonia;2003;38,6;44;1,14;20
Belgica;2003;10,3;10;0,97;21
Croacia;2003;4,4;4;0,91;22
Hungria;2003;9,9;5;0,51;23
Irlanda;2003;4;NA;NA;24
Lituania;2003;3,4;NA;NA;25
Letonia;2003;2,3;NA;NA;26
Eslovenia;2003;2;NA;NA;27
Luxemburgo;2003;0,4;NA;NA;28
Chipre;2004;0,8;29;36,25;1
Suecia;2004;8,9;142;15,96;2
Holanda;2004;16,2;250;15,43;3
Malta;2004;0,4;4;10;4
Dinamarca;2004;5,4;52;9,63;5
Reino Unido;2004;59,4;463;7,79;6
Romenia;2004;22,3;168;7,53;7
Grecia;2004;11;76;6,91;8
Alemanha;2004;82,5;489;5,93;9
Austria;2004;8,1;38;4,69;10
Rep Checa;2004;10,2;38;3,73;11
Portugal;2004;10,1;29;2,87;12
Franca;2004;60,4;164;2,72;13
Italia;2004;57,3;135;2,36;14
Belgica;2004;10,3;19;1,84;15
Croacia;2004;4,4;7;1,59;16
Espanha;2004;41,1;62;1,51;17
Bulgaria;2004;7,8;10;1,28;18
Lituania;2004;3,4;4;1,18;19
Hungria;2004;9,8;11;1,12;20
Finlandia;2004;5,2;5;0,96;21
Irlanda;2004;4;3;0,75;22
Polonia;2004;38,6;22;0,57;23
Letonia;2004;2,3;1;0,43;24
Eslovaquia;2004;5,4;NA;NA;28
Eslovenia;2004;2;NA;NA;28
Estonia;2004;1,3;NA;NA;28
Luxemburgo;2004;0,5;NA;NA;28
Chipre;2005;0,8;43;53,75;1
Suecia;2005;9;172;19,11;2
Holanda;2005;16,3;275;16,87;3
Luxemburgo;2005;0,5;5;10;4
Reino Unido;2005;59,7;543;9,1;5
Dinamarca;2005;5,4;47;8,7;6
Romenia;2005;21,7;163;7,51;7
Alemanha;2005;82,7;522;6,31;8
Grecia;2005;11,1;69;6,22;9
Austria;2005;8,2;35;4,27;10
Portugal;2005;10,5;40;3,81;11
Eslovaquia;2005;5,4;18;3,33;12
Franca;2005;60,5;197;3,26;13
Belgica;2005;10,4;32;3,08;14
Rep Checa;2005;10,2;27;2,65;15
Bulgaria;2005;7,7;16;2,08;16
Espanha;2005;43,1;87;2,02;17
Croacia;2005;4,6;9;1,96;18
Italia;2005;58,1;101;1,74;19
Estonia;2005;1,3;2;1,54;20
Hungria;2005;10,1;15;1,49;21
Finlandia;2005;5,2;5;0,96;22
Polonia;2005;38,5;27;0,7;23
Irlanda;2005;4,1;2;0,49;24
Lituania;2005;3,4;0;0;25
Letonia;2005;2,3;NA;NA;28
Eslovenia;2005;2;NA;NA;28
Malta;2005;0,4;NA;NA;28
Chipre;2006;0,8;38;47,5;1
Holanda;2006;16,4;274;16,71;2
Suecia;2006;9,1;131;14,4;3
Reino Unido;2006;59,8;671;11,22;4
Dinamarca;2006;5,4;58;10,74;5
Romenia;2006;21,6;165;7,64;6
Austria;2006;8,2;57;6,95;7
Alemanha;2006;82,7;522;6,31;8
Grecia;2006;11,1;63;5,68;9
Eslovaquia;2006;5,4;29;5,37;10
Croacia;2006;4,6;20;4,35;11
Franca;2006;60,7;247;4,07;12
Belgica;2006;10,4;41;3,94;13
Portugal;2006;10,5;38;3,62;14
Rep Checa;2006;10,2;33;3,24;15
Espanha;2006;43,4;102;2,35;16
Italia;2006;58,1;117;2,01;17
Lituania;2006;3,4;6;1,76;18
Hungria;2006;10,1;14;1,39;19
Irlanda;2006;4,2;4;0,95;20
Estonia;2006;1,3;1;0,77;21
Finlandia;2006;5,3;3;0,57;22
Bulgaria;2006;7,7;4;0,52;23
Polonia;2006;38,5;18;0,47;24
Eslovenia;2006;2;0;0;25
Letonia;2006;2,3;NA;NA;28
Luxemburgo;2006;0,5;NA;NA;28
Malta;2006;0,4;NA;NA;28
Chipre;2007;0,8;36;45;1
Holanda;2007;16,4;360;21,95;2
Suecia;2007;9,1;123;13,52;3
Reino Unido;2007;60;804;13,4;4
Dinamarca;2007;5,5;56;10,18;5
Grecia;2007;11,2;87;7,77;6
Austria;2007;8,2;62;7,56;7
Romenia;2007;21,5;152;7,07;8
Alemanha;2007;82,7;567;6,86;9
Belgica;2007;10,5;42;4;10
Franca;2007;60,9;235;3,86;11
Estonia;2007;1,3;5;3,85;12
Portugal;2007;10,6;37;3,49;13
Rep Checa;2007;10,2;34;3,33;14
Espanha;2007;43,6;137;3,14;15
Lituania;2007;3,4;9;2,65;16
Eslovaquia;2007;5,4;14;2,59;17
Bulgaria;2007;7,6;16;2,11;18
Italia;2007;58,2;99;1,7;19
Hungria;2007;10;17;1,7;20
Irlanda;2007;4,3;5;1,16;21
Finlandia;2007;5,3;5;0,94;22
Polonia;2007;38,5;22;0,57;23
Eslovenia;2007;2;1;0,5;24
Letonia;2007;2,3;1;0,43;25
Luxemburgo;2007;0,5;0;0;28
Croacia;2007;4,6;0;0;28
Malta;2007;NA;NA;NA;28
Chipre;2008;0,9;34;37,78;1
Holanda;2008;16,5;411;24,91;2
Suecia;2008;9,2;136;14,78;3
Dinamarca;2008;5,5;74;13,45;4
Reino Unido;2008;61;454;7,44;5
Austria;2008;8,4;58;6,9;6
Alemanha;2008;82,5;565;6,85;7
Romenia;2008;21,3;112;5,26;8
Portugal;2008;10,7;49;4,58;9
