REGION;COUNTRY;year;pop;DD;DDLiver;DOMINOLiver;LDLiver;Heart;Lung;Pancreas
Europe;Austria;2000;8,2;194;151;;;87;;30
Europe;Austria;2001;8,1;191;126;0;2;66;;27
Europe;Austria;2002;8,1;195;151;0;4;72;;52
Europe;Austria;2003;8,1;189;141;;6;64;;33
Europe;Austria;2004;8,1;185;126;;6;64;;35
Europe;Austria;2005;8,2;203;133;;3;;;31
Europe;Austria;2006;8,2;207;137;0;2;57;;39
Europe;Austria;2007;8,2;185;116;;3;57;;25
Europe;Austria;2008;8,4;172;112;0;4;62;;34
Europe;Austria;2009;8,4;214;146;0;7;73;;
Europe;Austria;2010;8,4;196;139;0;2;69;;
Europe;Austria;2011;8,4;205;126;0;2;51;120;16
Europe;Austria;2012;8,4;198;126;0;0;62;124;14
Europe;Austria;2013;8,5;208;130;0;2;64;128;19
Europe;Austria;2014;8,5;212;136;0;6;68;134;21
Europe;Austria;2015;8,5;205;141;0;5;67;130;27
Europe;Austria;2016;8,6;217;152;0;2;57;110;26
Europe;Belgium;2000;10,2;256;136;;;90;;32
Europe;Belgium;2001;10,3;222;174;0;27;84;;39
Europe;Belgium;2002;10,3;223;196;2;30;85;;86
Europe;Belgium;2003;10,3;237;239;2;40;90;;29
Europe;Belgium;2004;10,3;227;204;1;25;77;;23
Europe;Belgium;2005;10,4;248;190;3;24;;;24
Europe;Belgium;2006;10,4;282;218;1;18;77;;24
Europe;Belgium;2007;10,5;298;241;1;26;74;;18
Europe;Belgium;2008;10,5;274;217;0;13;75;;18
Europe;Belgium;2009;10,6;285;222;2;23;68;;
Europe;Belgium;2010;10,7;221;210;0;33;68;;
Europe;Belgium;2011;10,8;331;262;2;35;51;111;14
Europe;Belgium;2012;10,8;326;250;2;30;77;129;13
Europe;Belgium;2013;11,1;324;250;0;42;75;101;8
Europe;Belgium;2014;11,1;299;219;2;40;82;103;11
Europe;Belgium;2015;11,3;357;247;1;32;78;129;12
Europe;Belgium;2016;11,4;351;256;3;43;70;129;11
Europe;Bulgaria;2000;8,2;26;;;;;;
Europe;Bulgaria;2001;7,9;2;;;;;;
Europe;Bulgaria;2002;7,8;8;;;;;;
Europe;Bulgaria;2003;7,9;12;;;;5;;
Europe;Bulgaria;2004;7,8;7;0;;1;1;;11
Europe;Bulgaria;2005;7,7;6;3;;5;;;
Europe;Bulgaria;2006;7,7;19;9;;1;3;;
Europe;Bulgaria;2007;7,6;9;6;0;1;3;;0
Europe;Bulgaria;2008;7,6;8;5;0;4;3;;
Europe;Bulgaria;2009;7,5;11;9;;4;5;;
Europe;Bulgaria;2010;7,5;20;13;;2;5;;
Europe;Bulgaria;2011;7,4;4;3;0;3;0;0;0
Europe;Bulgaria;2012;7,4;2;2;0;2;2;0;0
Europe;Bulgaria;2013;7,2;21;7;0;0;4;;
Europe;Bulgaria;2014;7,2;38;18;0;1;4;0;0
Europe;Bulgaria;2015;7,1;45;15;0;1;7;0;0
Europe;Bulgaria;2016;7,1;39;10;;1;9;0;0
Europe;Croatia;2000;4,5;12;6;;;3;;
Europe;Croatia;2001;4,7;32;18;0;2;9;;0
Europe;Croatia;2002;4,7;41;24;0;1;9;;
Europe;Croatia;2003;4,4;39;28;;1;7;;8
Europe;Croatia;2004;4,4;59;43;;;8;;
Europe;Croatia;2005;4,6;44;39;;;;;
Europe;Croatia;2006;4,6;57;45;0;4;14;;13
Europe;Croatia;2007;4,6;58;23;0;0;6;;3
Europe;Croatia;2008;4,6;83;64;0;1;20;;14
Europe;Croatia;2009;4,4;78;60;0;2;20;;
Europe;Croatia;2010;4,4;135;103;;2;36;;
Europe;Croatia;2011;4,4;148;121;;3;38;;12
Europe;Croatia;2012;4,4;153;124;0;4;44;0;8
Europe;Croatia;2013;4,3;144;114;0;1;33;0;7
Europe;Croatia;2014;4,3;151;124;0;1;34;0;5
Europe;Croatia;2015;4,2;169;139;0;2;37;0;8
Europe;Croatia;2016;4,2;166;121;;0;35;0;7
Europe;Cyprus;2000;0,8;5;;;;;;
Europe;Cyprus;2001;0,8;2;;;;;;
Europe;Cyprus;2002;0,8;7;;;;;;
Europe;Cyprus;2003;0,8;1;;;;;;
Europe;Cyprus;2004;0,8;8;;;;;;
Europe;Cyprus;2005;0,8;5;;;;;;
Europe;Cyprus;2006;0,8;4;;;;;;
Europe;Cyprus;2007;0,8;;;;;;;
Europe;Cyprus;2008;0,9;13;;;;;;
Europe;Cyprus;2009;0,9;8;;;;;;
Europe;Cyprus;2010;0,9;4;;;;;;
Europe;Cyprus;2011;1,1;6;0;0;0;0;0;0
Europe;Cyprus;2012;1,1;4;0;0;0;0;0;1
Europe;Cyprus;2013;1,1;6;0;0;0;0;0;0
Europe;Cyprus;2014;1,2;5;0;0;0;0;0;0
